Domain;Number;Data Collection Field;Variable Name;Definition;Case Report Form Completion Instructions;Additional Information for Sponsors;CDASH Core;SDTM Mapping;SDTM Term Code
AE;11a;"Serious Event Type -
Congenital Anomaly or Birth Defect";AESCONG;"Indicates if a “serious” adverse event
was associated with a congenital anomaly or birth defect.
Is the AE associated with a congenital anomaly or birth defect?
{NY} ";"Record if the “serious” adverse event was
associated with congenital anomaly or birth defect.";"If the details regarding a Serious AE need to
be collected in the clinical database, then it is recommended that a separate Yes/No
variable be defined for each Serious AE
type. In many cases sponsors will only collect the AESER field because the
individual serious adverse event types
might be collected in a separate pharmacovigilance database and therefore do not need to be collected in the clinical database.";"Recommended/
Conditional";NY;C66742
AE;11b;"Serious Event Type -
Persistent or
Significant Disability or Incapacity";AESDISAB;"Indicates if a “serious” adverse event
was associated with a persistent or significant disability or incapacity.
Did the AE result in a persistent or significant disability or incapacity?
{NY} ";"Record if the “serious” adverse event
resulted in a persistent or significant disability or incapacity.";;"Recommended/
Conditional";NY;C66742
AE;11c;"Serious Event Type -
Death";AESDTH;"Indicates if a “serious” adverse event
resulted in death.
Did the AE result in death?
{NY} ";"Record if the “serious” adverse event
resulted in death.";;"Recommended/
Conditional";NY;C66742
AE;11d;"Serious Event Type -
Initial or Prolonged
Hospitalization";AESHOSP;"Indicates if a “serious” adverse event
resulted in an initial or prolonged hospitalization for the patient.
Did the AE result in an initial or prolonged hospitalization for the patient?
{NY} ";"Record if the “serious” adverse event
resulted in an initial or prolonged hospitalization for the patient.";;"Recommended/
Conditional";NY;C66742
AE;11e;"Serious Event Type -
Life Threatening";AESLIFE;"Indicates if a “serious” adverse event
was life threatening.
Is the AE Life Threatening?
{NY} ";"Record if the “serious” adverse event is life
threatening.";;"Recommended/
Conditional";NY;C66742
AE;11f;"Serious Event Type -
Other Serious or
Important Medical
Events";AESMIE;"Indicates if a “serious” adverse event is
associated with other serious or important medical events.
Is the AE associated with other serious or important medical events?
{NY} ";"Record if the “serious” adverse event is
associated with other serious or important medical events which may be defined in the
protocol or in the Investigator Brochure.";(See above);"Recommended/
Conditional";NY;C66742
AE;16;"Adverse Event that
Caused Study
Discontinuation";AEDIS;"Indication of whether the adverse event
caused the subject to discontinue from the study.
Did the AE cause the subject to discontinue from the study?
{NY} ";"Record if the AE caused the subject to
discontinue from the study.";"Since the Action Taken field was defined to
only collect the changes made to the study treatment due to the AE, an additional field
was created to identify the AE(s) that
caused the subject to discontinue from the study.  Some sponsors opt to capture this
information only on the Subject Disposition CRF while others choose to collect this data on both the Subject Disposition and AE CRFs, so the specific AE term(s) and
related data can be identified.";Optional;NY;C66742
CM;1;"Were any medications
taken?";CMYN;"General prompt question to aid in
monitoring and data cleaning.


{NY} ";"Indicate if the subject took any medications.
If “Yes”, include the appropriate details where indicated.";"The intent/purpose of collecting this field is
to help with data cleaning and monitoring.
Note: CMYN will not be included as part of the SDTMIG CM Domain for submission.";Optional;NY;C66742
CM;18;Mark if Ongoing;CMONGO;"Indicates medication or therapy is
ongoing when no End Date is provided.
{NY}";"Record the medication or therapy as
ongoing if the subject has not stopped
taking the medication or therapy at the time
of data collection and the end date should
be left blank.";"This box should be checked to indicate that
the medication or therapy has not stopped at
the time of data collection.
At study completion, it is expected that
every reported medication or therapy should
have either End Date or be checked as
Ongoing, but not both.
This is not a direct mapping to CMENRF.
The date of data collection in conjunction
with end date and the ongoing check box
would determine how CMENRF will be
Populated.";Optional;NY;C66742
EG;1;"Indicate if ECG was
performed";EGPERF;"Status of whether or not ECG was
 done.
 {NY}";Indicate whether or not ECG was done.;"This may be implemented for an entire
ECG, or on a test-by-test basis. This is intended to be used as a data management tool to verify that results missing from the CRF are intentionally missing.
For the SDTM-based dataset, the SDTMIG variable EGSTAT can be derived from EGPERF.";"Highly
Recommended";NY;C66742
EG;10;Clinical Significance;EGCLSIG;"Whether ECG results were clinically
 significant.
Is the result clinically significant?
 {NY}";"Record whether ECG results were clinically
significant.";"May be included if required by the
protocol.
Could apply to specific measurements or to overall interpretation.";Optional;NY;C66742
IE;1;"Met All Eligibility
Criteria?";IEYN;"Response for whether the subject met
all the eligibility requirements for this study at the time the subject was
enrolled.
Did subject meet all eligibility criteria?
{NY} ";"Record “Yes” if all eligibility criteria were
met for the study. Record “No” if subject did not meet all criteria at the time the subject
was enrolled.";"This is a Yes/No question that is intended
to be used primarily as a monitoring and/or data management tool to verify
that the investigator/site reported any entry
criteria that were not met.
May be used to derive data into
IEORRES.
Must be recorded on the CRF.";"Highly
Recommended";NY;C66742
MH;1;"Has the subject
experienced any past and / or concomitant diseases or past
surgeries?";MHYN;"General prompt question to aid in
monitoring and data cleaning.
Has the subject experienced any past and / or concomitant diseases or past surgeries?
{NY} ";"If the subject has experienced any past and /
or concomitant diseases or has had any type of surgery, select “Yes” and provide the requested information. Otherwise, select
“No” and leave the page blank.";"Note that MHYN is not defined in the
SDTMIG MH domain. Some sponsors may find this data point useful from an administrative perspective. It should not
be included in the submission.
Also note that the sponsor may choose to collect surgical history elsewhere in the CRF.";Optional;NY;C66742
PE;1;"Was the Physical
Examination
Performed?";"
PEYN";"Used to indicate if the overall physical
examination was performed as scheduled.
Was the physical examination performed?
{NY} ";"If physical examination was performed as
planned then select “Yes”, otherwise, select
“No”";"A subject/page level question can be used
asking the site if the physical exam was performed at the specified time point.
If this field is used then the result should only be mapped to PESTAT in SDTMIG if the overall examination, at the subject level, was not performed. If the overall
examination was performed then the value of PESTAT would be null for the examined body systems and Not Done for any body systems not examined (see PERES).
This field is used to assist in data monitoring and cleaning";Optional;NY;C66742
DV;1;"Were there any
protocol deviations?";"
DVYN";"Indication of whether or not there was a
protocol deviation.
{NY} ";"Enter “Yes” if a protocol deviation occurred
and “No” if none occurred. Ensure that any adverse event, concomitant medication use, newly discovered medical history, etc. which triggers a protocol deviation is noted in the respective CRF.";"May be derived in the analysis
(submission) dataset if not collected on a
CRF."; Optional;NY;C66742
AE;13;"Action Taken with
Study Treatment";AEACN;"Changes made to the study treatment in
response to the adverse event.
{ACN}";"Record changes made to the study treatment
resulting from the adverse event.";"CDISC controlled terminology should be
used to indicate the action taken with the study treatment in response to the AE.";"Highly
Recommended";ACN;C66767
AE;15;Outcome;AEOUT;"Description of the subject’s status
associated with an event.
{OUT}";"Record the appropriate outcome of the
event in relation to the subject’s status.";"CDISC controlled terminology should be
used to indicate the outcome of the event as it relates to the subject’s status. The
Outcome controlled terminology includes
ICH E2B values.";"Highly
Recommended";OUT;C66768
DM;3;Age Units;AGEU;"Those units of time that are routinely
used to express the age of a person. (NCI)
{AGEU}";"Record the appropriate age unit (e.g., years,
months, weeks, etc.).";"If Age is captured on the CRF, the age unit
must be known to make the “Age” value meaningful. The age unit might be collected on the CRF, in those cases where the
protocol allows for any age group, or it may be pre-printed on the CRF (typically with the unit of ""years"").
(See Section 5.6.1 Collection of Age vs. Date of Birth)";Optional;AGEU;C66781
DM;6;Ethnicity;ETHNIC;"A social group characterized by a
distinctive social and cultural tradition maintained from generation to
generation, a common history and origin
and a sense of identification with the group; members of the group have distinctive features in their way of life, shared experiences and often a common genetic heritage; these features may be reflected in their experience of health and disease (NCI – CDISC Definition).
{ETHNIC}";"Study participants should self-report
ethnicity, with ethnicity being asked about before race.";"If more detailed characterizations of
ethnicity are collected to enhance data quality and consistency, it is recommended
that they be “collapsible” up to the two
categories for reportable ethnicity, as needed for reporting to FDA under its guidance.
Other regulatory bodies may expect the reporting of ethnicity values (different than the US FDA) which more appropriately reflect the population of their areas (e.g., Japanese ancestry for MHLW reporting to Japan). These may be collected as an extension to the suggested NCI-CDISC code list.";"Recommended/
Conditional";ETHNIC;C66790
VS;5;Vital Sign Test Name;VSTEST;"Verbatim name of the test or
examination used to obtain the measurement or finding.
{VSTEST} ";Record the name of the vital sign test if not pre-printed on the CRF.;It is recommended that the test names be pre-printed on the CRF.;"Highly
Recommended";VSTEST;C67153
LB;8;Test Name;LBTEST;"Verbatim name of the test or
examination used to obtain the measurement or finding. Note any test normally performed by a clinical laboratory is considered a lab test.
{LBTEST} ";Record the type or name of the lab test, if not pre-printed on the CRF.;Required to identify the test. It is recommended that the test names be pre- printed on the CRF.;"Highly
Recommended";LBTEST;C67154
CM;12;Frequency;CMDOSFRQ;"How often the medication was taken
(e.g., BID, every other week, PRN).
{FREQ}";"Record how often the medication or therapy
was taken. (e.g., BID, every other week, PRN).";"When collected, the recommendation is to
collect dosing information in separate fields for specific and consistent data collection
and to enable programmatically utilizing
these data for analysis. See below for the rest of the dosing information components (Dose per Administration, and Unit.)";Optional;FREQ;C71113
EX;11;Frequency;EXDOSFRQ;"Usually expressed as the number of
dosings given per a specific interval.
{FREQ} ";"Record the frequency the study treatment was
administered for a defined period of time
(e.g., BID, QID, TID).";"Number of doses given per a specific
interval.";Optional;FREQ;C71113
EG;3;"Position of the
Subject";EGPOS;"Position of the subject during the ECG
measurement.
What was the position of the subject during the ECG?
{POSITION}";"Record the position of the subject during the
ECG.";"Results may be affected by whether
conditions for ECG as specified in the protocol were properly met.
One common condition is the subject's position (e.g., Supine, Standing).
If the protocol requires this type of information, then this question may be included to confirm that the subject's position matches the protocol.
The following are examples of when it is not necessary to collect these data on the CRF:
•Position of the Subject is provided as part of the electronic data, or
•Position of the Subject is not pertinent to the protocol, or
•The protocol specifies only one possible position and the sponsor does not feel there is significant risk of the sites performing the ECG with the subject in the wrong position";Optional;POSITION;C71148
VS;11;Position of Subject;VSPOS;"Position of the subject during a
measurement or examination.
{POSITION} ";Record the position of subject at time of test.;"Position may be pre-defined as part of CRF
label or site may be given one or more options to select from.";"Recommended/
Conditional";POSITION;C71148
EG;2;Method of ECG;EGMETHOD;"Method used to measure ECG.
{EGMETHOD}";Record the method used to measure ECG.;"Results may be affected by whether
conditions for ECG as specified in the protocol were properly met.
One possible condition is the method used to collect the ECG data (e.g., 12-Lead or
1-Lead).
If the protocol requires this type of information, then this question may be included to confirm that the method used matches the protocol.
The following are examples of when it is not necessary to collect these data on the CRF:
•Method of ECG is provided as part of the electronic data, or
•Method of ECG is not pertinent to the protocol, or
•The protocol specifies only one possible method for collecting ECG measurements and the sponsor does not feel there is significant risk of the sites performing the ECG using the incorrect method";Optional;EGMETHOD;C71151
EG;7;Test Name;EGTEST;"Descriptive name of the measurement or
finding.
{EGTEST}";Record the name of the ECG measurement or finding, if not pre-printed on the CRF.;Required to identify which ECG test the result is for. If specific tests are required, these should be pre-printed on the CRF rather than collected in a field that requires the site to enter text.;"Highly
Recommended";EGTEST;C71152
CM;10;Unit;CMDOSU;"This is the unit associated with the dose
of medication taken per administration of a total daily dose (e.g., ""mg"" in ""2mg
three times per day).
{UNIT}";"Record the dose unit of the dose of
medication taken (e.g., mg.).";"When sponsors collect data for amount of
dose taken (i.e., “Dose”, “Total Daily
Dose”, “Unit”) must be collected as well.";Optional;UNIT;C71620
DA;4;"Units of Study
Treatment Dispensed or Returned";DAORRESU;"Unit for DAORRES (i.e., tablets).
{UNIT}";Record the units in which the study treatment was dispensed.;"Unit of product dispensed (i.e., tablets).
The unit will need to be pre-printed on the CRF or a field provided on the CRF to capture it.";"Highly
Recommended";UNIT;C71620
EG;9;Units;EGORRESU;"Original units in which the data were
collected.
{UNIT}";"Record the original units in which these data
were collected, if not pre-printed on CRF.";" May be included if quantitative results
 are recorded. Because units for quantitative ECG results are typically
limited (e.g., seconds, milliseconds or
beats per minute), units should be pre- printed on the CRF rather than having the sites record the units.
This item is not necessary for qualitative results.";"Recommended /
Conditional";UNIT;C71620
EX;6;Dose Unit;EXDOSU;"Units for EXDOSE.
{UNIT} ";Record the unit of dose or amount taken per period recorded (e.g., ng, mg, or mg/kg).;"Unit of dose or amount taken per
“constant dosing interval” recorded. Dose must be collected if it cannot be
derived via other methods (e.g., derived
from randomization data).
The unit will need to be pre-printed on the CRF or a field provided on the CRF to capture it.";"Recommended /
Conditional";UNIT;C71620
EX;14a;"Duration of
Interruption
(including units)";EXINTPU;Unit for the duration of treatment interruption. {UNIT} ;"Record the unit (e.g., minutes, hours, days)
for the duration of treatment interruption.";"The unit (e.g., minutes, hours, days) needs
to be collected as a qualifier to the number
for duration.";;UNIT;C71620
EX;17;Total Volume Administered Unit;EXVOLTU;The unit of measure for the exposure volume amount. {UNIT};Record the unit of total volume administered/given to the subject (e.g., mL).;Unit of the administration volume (e.g.,mL).;Optional;UNIT;C71620
EX;19;Flow Rate Unit;"
EXFLRTU";The unit of measure for the rate of infusion. {UNIT};Record the unit for the infusion rate (e.g., mL/min).;Unit of the infusion rate (e.g., mL/min).;Optional;UNIT;C71620
EX;23;Planned Dose Units;EXPDOSEU;"Units for EXPDOSE.
{UNIT} ";"Record the unit of dose or amount planned
per period (e.g., ng, mg, or mg/kg).";"Important note:  This field must be used
in conjunction with “actual dose” EXDOSE and “actual dose units” EXDOSEU since this field captures the
unit of the planned dose rather than the dose the subject actually received.";Optional;UNIT;C71620
EX;15;Body Location;EXLOC;Specifies anatomical location of administration. {LOC};Record the body location where the study treatment was administered (e.g., shoulder,hip,arm).;Location where the study treatment was administered.;Optional;LOC;C74456
VS;10;"Location of Vital Signs
Measurement";VSLOC;"Location relevant to the collection of
Vital Signs measurement. Example: LEFT ARM for blood pressure. {LOC}";"Record or select location on body where
measurement was performed, if not pre- printed on CRF.";"Location may be pre-defined as part of
CRF label.";Optional;LOC;C74456
SC;1;"Subject Characteristic
Question";SCTEST;"Name of the subject characteristic being
queried.
{SCCD} ";Not applicable.;"It is recommended that the questions be
pre-printed on the CRF";"Highly
Recommended";SCCD;C74559
DS;1;Trial Epoch;EPOCH;"Trial epoch (e.g., trial cycle, phase,
end of study, etc.) for which subject disposition is being collected.";" (Typically, the trial epoch will be pre-
printed on the CRF as the title of the page;
however, for those companies whose standard CRF module includes a “pick- list” of epochs, the following instruction is given).
Check the <epoch, or insert more appropriate wording> for which disposition is being recorded.";"Typically, the trial epoch will be pre-
printed on the CRF as the title of the page;
however, some companies have a standard CRF module that includes a “pick-list” of epochs.
NOTE: See SDTMIG for further information regarding EPOCH.";"Recommended/
Conditional";;
DS;3;"Date of Completion or
Discontinuation";DSSTDAT;"The date that the subject completed the
selected trial epoch, or the date that the subject discontinued from the selected trial epoch, using the CDASH
recommended collection date format.";"Record the date that the subject completed
the <epoch, or insert more appropriate wording> as defined in the protocol and/or CRF Completion Instructions using the
CDASH recommended collection date format. If the subject did not complete the
<epoch, or insert more appropriate wording>, record the date as defined in the
protocol and/or CRF Completion
Instructions using the CDASH- recommended date format (e.g., 08-AUG-
2008)
.";"Define in the protocol and/or CRF
Completion Instructions the criteria for completion of each trial epoch for which a disposition CRF will be provided. Define
also the date of completion or discontinuation.
Only collect the date of completion or discontinuation on the disposition CRF module if the same information is not being collected on another CRF module. For example, if the date of the last dose is defined to mark the end of the Treatment Phase epoch, and is collected on the Exposure form, then this field would not be collected on the Disposition CRF module. If not collected elsewhere, this variable should be collected on the Disposition CRF
module.
For the SDTM-based dataset, the SDTMIG variable DSSTDTC is derived by concatenating CDASH Date and Time of Completion or Discontinuation (if time is collected) into DSSTDTC using the ISO
8601 format.";"Recommended /
Conditional";;
DS;4;Time of Completion or Discontinuation;DSSTTIM;"The time that the subject completed the selected trial epoch, or the time that the
subject discontinued from the selected
trial epoch.";"Record the time (as complete as possible)
that the subject completed the selected trial
epoch as defined in the protocol and/or CRF
Completion Instructions. If the subject did
not complete the selected trial epoch, record
the time (as complete as possible) as
defined in the protocol and/or CRF
Completion Instructions.";"Define in the protocol and/or CRF
Completion Instructions the criteria for
completion of each trial epoch for which a
disposition CRF will be provided. Define
also the date of completion or
discontinuation. Collecting the time of
completion or discontinuation is only
appropriate if it can be realistically
determined and if there is a scientific reason
for needing to know this level of detail.
Typically, it is not recommended that a time
be collected unless the subject is under the
direct care of the site at the time of the
event.
Only collect the time of completion or
discontinuation on the disposition CRF
module if the same information is not being
collected on another CRF module. For
example, if the time of the last dose is
defined to mark the end of the Treatment
Phase epoch, and is collected on the Drug
Exposure form, then this field would not be
collected on the Disposition CRF module.
For the SDTM-based dataset, the
SDTMIG variable DSSTDTC is derived by
concatenating CDASH Date and Time of
Completion or Discontinuation (if time is
collected) into DSSTDTC using the ISO
8601 format.";Optional;;
AE;2;Line #;AESPID;"A sponsor-defined reference number
associated with each unique AE record.";"•Record sequential numbers for each adverse event, beginning with “1”.
•Number sequence for all following pages should not be restarted.";"Sponsor-defined reference number. Perhaps
pre-printed on the CRF as an explicit line identifier or defined in the sponsor’s operational database (derived) (e.g., line number on an Adverse Event page).
For paper AE CRFs, it can be beneficial to use a sequence number in a data query to clearly communicate to the site the specific record in question.";Optional;;
AE;3;Adverse Event;AETERM;"Verbatim (i.e., investigator-reported
term) description of the adverse event.";"•Record only one diagnosis, sign or symptom per line (e.g., nausea and vomiting should not be recorded in the same entry, but as 2 separate entries).
•Using accepted medical terminology, enter the diagnosis (if known); otherwise enter a sign or symptom. If a diagnosis subsequently becomes available, then this diagnosis should be entered on the AE form, replacing the original entries, where appropriate.
•Death should not be recorded as an event but should be recorded as the outcome of the event. The condition that resulted in the death should be recorded as the event.
•Do not use abbreviations.";"In most cases, the verbatim term (i.e.,
investigator-reported term) will be coded to a standard medical dictionary such as
MedDRA, WHO ART, after the data have
been collected on the CRF. The coding data will be stored in field(s) not defined by CDASH.";"Highly
Recommended";;
AE;4;Start Date;AESTDAT;Date when the adverse event started.;"Record the date that the AE began using the
CDASH-recommended date format (e.g.,
08-AUG-2008).  Best
Practice section.";"For the SDTM-based dataset, the
SDTMIG variable AESTDTC is derived by concatenating CDASH Start Date and Time (if time is collected) into AESTDTC using
the ISO 8601 format.";"Highly
Recommended";;
AE;5;Start Time;AESTTIM;Time when the adverse event started.;"If appropriate, record the time (as complete
as possible) that the AE began. .";"Collecting the time an AE was started is
only appropriate if it can be realistically determined and if there is a scientific reason
for needing to know this level of detail. An
example would be in an early phase study where the subject is under the direct care of the site at the time the event started and the study design is such that it is important to know the AE start time with respect to dosing.
For the SDTM-based dataset, the SDTMIG variable AESTDTC is derived by concatenating CDASH Start Date and Time (if time is collected) into AESTDTC using the ISO 8601 format.";"Recommended/
Conditional";;
AE;6;End Date;AEENDAT;Date when the adverse event resolved.;"Record the date that the AE resolved using
the CDASH-recommended date format
(e.g., 08-AUG-2008). .
If the AE is ongoing, leave the field blank.";"For the SDTM-based dataset, the
SDTMIG variable AEENDTC is derived by concatenating CDASH End Date and Time
(if time is collected) into AEENDTC using
the ISO 8601 format.";"Highly
Recommended";;
AE;7;End Time;AEENTIM;Time when the adverse event resolved.;"If appropriate, record the time (as complete
as possible) that the AE resolved.  .";"Collecting the time an AE resolved is only
appropriate if it can be realistically determined and if there is a scientific reason
for needing to know this level of detail. An example would be in an early phase study
where the subject is under the direct care of the site at the time the event resolved and
the study design is such that it is important to know the AE end time with respect to
dosing.
For the SDTM-based dataset, the SDTMIG variable AEENDTC is derived by concatenating CDASH End Date and Time (if time is collected) into AEENDTC using the ISO 8601 format.";"Recommended/
Conditional";;
AE;9;Severity;"AESEV
And/or
AETOXGR";"Description of the severity of the
adverse event.
 {AESEV}
{TOXGR}";"Severity: The reporting
physician/healthcare professional will assess the severity of the adverse
drug/biologic event using the sponsor-
defined categories. This assessment is subjective and the reporting physician/
healthcare professional should use medical judgment to compare the reported Adverse
Event to similar type events observed in clinical practice. Severity is not equivalent
to seriousness.
And/or
Severity CTCAE Grade: The reporting physician/healthcare professional will assess the severity of the adverse event using the toxicity grades.";"Either AESEV or AETOXGR must appear
on the CRF. Some studies may mandate the collection of both.
Note: Completion of CTCAE grade is a mandatory field for cancer studies. In all other types of studies this is an optional field.";"Highly
Recommended";;
AE;12;"Relationship to Study
Treatment";AEREL;"Indication of whether the study
treatment had a causal effect on the adverse event, as reported by the
clinician/investigator.";"Indicate if the cause of the adverse event is
related to the study treatment and cannot be reasonably explained by other factors (e.g.,
subject’s clinical state, concomitant
therapy, and/or other interventions).";"Sponsored-defined terminology will be used
to indicate the relationship between the AE
and the study treatment (e.g., Yes/No or ICH E2B examples: Not Related, Unlikely Related, Possibly Related, Related).";"Highly
Recommended";;
AE;14;Other Action Taken;AEACNOTH;"Describes Other Action(s) taken in
response to the adverse event that are unrelated to study treatment dose changes.";"Record all other action(s) taken resulting
from the adverse event that are unrelated to study treatment dose changes.";"This field is usually reported as a free text
field. Example: Treatment Unblinded, Primary Care Physician Notified.";Optional;;
CM;2;Line #;CMSPID;A sponsor-defined reference number.;"•Record sequential numbers for each medication, beginning with “1”.
•Number sequence for all following pages should not be restarted.";"Sponsor-defined reference number. Perhaps
pre-printed on the CRF as an explicit line identifier or defined in the sponsor’s
operational database (derived) (e.g., line
number on a concomitant medication page).
For paper Prior & Concomitant Medication CRFs, it can be beneficial to use a sequence number in a data query to clearly communicate to the site the specific record in question.";Optional;;
CM;3;"Medication / Therapy
Name";CMTRT;"Verbatim drug name or therapy (type of
therapies that has similar data collection characteristics as medications.)";"•Record only one medication per line.
•Provide the full trade or proprietary name of the drug or therapy; otherwise the generic name may be recorded.
•If a medication is used for multiple indications [i.e., multiple AEs, and/or Medical History condition(s)], list the medication again with each indication as a new line or entry.";"In most cases, the verbatim drug names or
therapy will be coded to a standard dictionary such as WHO DRUG after the data have been collected on the CRF.
For the collection of verbatim drug name or therapy, the recommendation is to ask the sites to provide the full trade or proprietary name since it is more exact than the generic. The full trade name provides the base generic and the appropriate salt for that particular drug. In addition, for coding purposes it helps with ATC selection.
For example the medication Tylenol with codeine #1 has a different ATC code from Tylenol with codeine #3.";"Highly
Recommended";;
