Code;Codelist Code;Codelist Extensible (Yes/No);Codelist Name;CDISC Submission Value;CDISC Preferred Term;CDISC Synonym(s);CDISC Definition;NCI Preferred Term;
C49641;C66780;;Age Span;IN UTERO;IN UTERO;;The period of time during which the embryo or fetus is present in the uterus of the female. Also describes the location of the embryo or fetus as being in the uterus in contrast to outside the uterus (ex utero). (NCI);In Utero;
C49643;C66780;;Age Span;INFANT AND TODDLER (28 DAYS - 23 MONTHS);INFANT AND TODDLER (28 DAYS - 23 MONTHS);;A person from 28 days to 23 months of age. (NCI);Infant And Toddler;
C16731;C66780;;Age Span;NEWBORN (0-27 DAYS);NEWBORN (0-27 DAYS);;An infant during the first month after birth. (NCI);Newborn;
C49642;C66780;;Age Span;PRETERM NEWBORN INFANTS;PRETERM NEWBORN INFANTS;;An infant born prior to completion of the normal gestation period. (NCI);Preterm Newborn Infant;
C66781;;No;Age Unit;AGEU;AGEU;Age Unit;Those units of time that are routinely used to express the age of a person. (NCI);CDISC SDTM Age Unit Terminology;
C25301;C66781;;Age Unit;DAYS;DAYS;;"The time for Earth to make a complete rotation on its axis; ordinarily divided into twenty-four hours. This also refers to a specific day. (NCI)";Day;
C25529;C66781;;Age Unit;HOURS;HOURS;;A unit measure of time equal to 3,600 seconds or 60 minutes. It is approximately 1/24 of a median day. (NCI);Hour;
C29846;C66781;;Age Unit;MONTHS;MONTHS;;One of the 12 divisions of a year as determined by a calendar. It corresponds to the unit of time of approximately to one cycle of the moon's phases, about 30 days or 4 weeks. (NCI);Month;
C29844;C66781;;Age Unit;WEEKS;WEEKS;;Any period of seven consecutive days. (NCI);Week;
C29848;C66781;;Age Unit;YEARS;YEARS;;"The period of time that it takes for Earth to make a complete revolution around the sun, approximately 365 days; a specific one year period. (NCI)";Year;
C66797;;No;Category for Inclusion/Exclusion;IECAT;IECAT;Category for Inclusion/Exclusion;A collection of criteria on which subjects are evaluated and that must be met by all study subjects. (NCI);CDISC SDTM Category of Inclusion And Or Exclusion Terminology;
C25370;C66797;;Category for Inclusion/Exclusion;EXCLUSION;EXCLUSION;;List of characteristics in a protocol, any one of which may exclude a potential subject from participation in a study. (CDISC glossary);Exclusion;
C25532;C66797;;Category for Inclusion/Exclusion;INCLUSION;INCLUSION;;The criteria in a protocol that prospective subjects must meet to be eligible for participation in a study. NOTE: Exclusion and inclusion criteria define the study population. See also exclusion criteria. (CDISC glossary);Inclusion;
C66783;;No;CDISC System Organ Class;SOC;SOC;CDISC System Organ Class;Terms at the highest level of the CDISC system organ class terminology.;CDISC SDTM System Organ Class Terminology;
C35814;C66783;;CDISC System Organ Class;BLOOD AND LYMPHATIC SYSTEM DISORDERS;BLOOD AND LYMPHATIC SYSTEM DISORDERS;;Any deviation from the normal structure or function of the blood or lymphatic system that is manifested by a characteristic set of symptoms and signs. (NCI);Hematopoietic and Lymphoid System Disorder;
C3079;C66783;;CDISC System Organ Class;CARDIAC DISORDERS;CARDIAC DISORDERS;;Any deviation from the normal structure or function of the cardiac system that is manifested by a characteristic set of symptoms and signs. (NCI);Heart Disorder;
C49399;C66783;;CDISC System Organ Class;CONGENITAL, FAMILIAL AND GENETIC DISORDERS;CONGENITAL, FAMILIAL AND GENETIC DISORDERS;;A class of disorders that encompasses conditions resulting from a congenital, familial hereditary trait or genetic abnormality as is manifested by a characteristic set of symptoms and signs. (NCI);Congenital, Familial and Genetic Disorder Class;
C49400;C66783;;CDISC System Organ Class;EAR AND LABYRINTH DISORDERS;EAR AND LABYRINTH DISORDERS;;Any deviation from the normal structure or function of the ear or labyrinth that is manifested by a characteristic set of symptoms and signs. (NCI);Ear and Labyrinth Disorder Class;
C3009;C66783;;CDISC System Organ Class;ENDOCRINE DISORDERS;ENDOCRINE DISORDERS;;Any deviation from the normal structure or function of the endocrine system that is manifested by a characteristic set of symptoms and signs. (NCI);Endocrine Disorder;
C26767;C66783;;CDISC System Organ Class;EYE DISORDERS;EYE DISORDERS;;Any deviation from the normal structure or function of the eye that is manifested by a characteristic set of symptoms and signs. (NCI);Eye Disorder;
C2990;C66783;;CDISC System Organ Class;GASTROINTESTINAL DISORDERS;GASTROINTESTINAL DISORDERS;;Diseases of the digestive tract (oral cavity to anus) and associated organs (salivary glands, liver, pancreas). (NCI);Gastrointestinal Disorder;
C49401;C66783;;CDISC System Organ Class;GENERAL DISORDERS AND ADMINISTRATION SITE CONDITIONS;GENERAL DISORDERS AND ADMINISTRATION SITE CONDITIONS;;A class of disorders that encompasses conditions of a general kind that result from a disease, the treatment of disease or administration of treatment at a particular site and are manifested by a characteristic set of symptoms and signs. (NCI);General Disorders and Administration Site Conditions Class;
C3959;C66783;;CDISC System Organ Class;HEPATOBILIARY DISORDERS;HEPATOBILIARY DISORDERS;;Any deviation from the normal structure or function of the liver or biliary tract that is manifested by a characteristic set of symptoms and signs. (NCI);Liver and Biliary Tract Disorder;
C3507;C66783;;CDISC System Organ Class;IMMUNE SYSTEM DISORDERS;IMMUNE SYSTEM DISORDERS;;A disorder resulting from an abnormality in the immune system. -- 2003 (NCI);Immune System Disorder;
C26726;C66783;;CDISC System Organ Class;INFECTIONS AND INFESTATIONS;INFECTIONS AND INFESTATIONS;;A disorder resulting from the presence and activity of a microbial, viral, or parasitic agent. It can be transmitted by direct or indirect contact. -- 2003 (NCI);Infectious Disorder;
C49402;C66783;;CDISC System Organ Class;INJURY, POISONING AND PROCEDURAL COMPLICATIONS;INJURY, POISONING AND PROCEDURAL COMPLICATIONS;;A class of disorders that encompasses conditions resulting from an injury, poisoning or procedure. (NCI);Injury, Poisoning and Procedural Complication Class;
C41198;C66783;;CDISC System Organ Class;INVESTIGATIONS;INVESTIGATIONS;;"The act or process of a systematic and thorough examination; research, study; the process of inquiring into or following up, intended to develop facts. (NCI)";Investigation;
C49403;C66783;;CDISC System Organ Class;METABOLISM AND NUTRITION DISORDERS;METABOLISM AND NUTRITION DISORDERS;;A class of disorders that encompasses conditions occurring as a result of metabolic dysfunction or deviation from the normal nutritional requirements. (NCI);Metabolism and Nutrition Disorder Class;
C27574;C66783;;CDISC System Organ Class;MUSCULOSKELETAL AND CONNECTIVE TISSUE DISORDERS;MUSCULOSKELETAL AND CONNECTIVE TISSUE DISORDERS;;Any deviation from the normal structure or function of the musculoskeletal or connective tissue that is manifested by a characteristic set of symptoms and signs. (NCI);Connective and Soft Tissue Disorder;
C3262;C66783;;CDISC System Organ Class;NEOPLASMS BENIGN, MALIGNANT AND UNSPECIFIED (INCL CYSTS AND POLYPS);NEOPLASMS BENIGN, MALIGNANT AND UNSPECIFIED (INCL CYSTS AND POLYPS);;"An abnormal tissue growth resulted from uncontrolled cell proliferation. Benign neoplastic cells resemble normal cells without exhibiting significant cytologic atypia, while malignant ones exhibit overt signs such as dysplastic features, atypical mitotic figures, necrosis, nuclear pleomorphism, and anaplasia. Representative examples of benign neoplasms include papillomas, cystadenomas, and lipomas; malignant neoplasms include carcinomas, sarcomas, lymphomas, and leukemias. -- 2004 (NCI)";Neoplasm;
C26835;C66783;;CDISC System Organ Class;NERVOUS SYSTEM DISORDERS;NERVOUS SYSTEM DISORDERS;;Any deviation from the normal structure or function of the nervous system that is manifested by a characteristic set of symptoms and signs. (NCI);Nervous System Disorder;
C49404;C66783;;CDISC System Organ Class;PREGNANCY, PUERPERIUM AND PERINATAL CONDITIONS;PREGNANCY, PUERPERIUM AND PERINATAL CONDITIONS;;A class of conditions associated with pregnancy, puerperium and perinatal status. (NCI);Pregnancy, Puerperium and Perinatal Condition Class;
C2893;C66783;;CDISC System Organ Class;PSYCHIATRIC DISORDERS;PSYCHIATRIC DISORDERS;;Any deviation from the normal structure or function of the brain and a psychiatric condition, that results in an impairment of an individual's normal cognitive, emotional, or behavioral functioning, and is caused by physiological or psychosocial factors. (NCI);Psychiatric Disorder;
C3430;C66783;;CDISC System Organ Class;RENAL AND URINARY DISORDERS;RENAL AND URINARY DISORDERS;;Disorders of any part of the urologic system. (NCI);Urinary System Disorder;
C49405;C66783;;CDISC System Organ Class;REPRODUCTIVE SYSTEM AND BREAST DISORDERS;REPRODUCTIVE SYSTEM AND BREAST DISORDERS;;Any deviation from the normal structure or function of the reproductive system or breast that is manifested by a characteristic set of symptoms and signs. (NCI);Reproductive System and Breast Disorder Class;
C27669;C66783;;CDISC System Organ Class;RESPIRATORY, THORACIC AND MEDIASTINAL DISORDERS;RESPIRATORY, THORACIC AND MEDIASTINAL DISORDERS;;Any deviation from the normal structure or function of the respiratory system including the thorax and mediastinum that is manifested by a characteristic set of symptoms and signs. (NCI);Respiratory and Thoracic Disorder;
C3371;C66783;;CDISC System Organ Class;SKIN AND SUBCUTANEOUS TISSUE DISORDERS;SKIN AND SUBCUTANEOUS TISSUE DISORDERS;;Any deviation from the normal structure or function of the skin or subcutaneous tissue that is manifested by a characteristic set of symptoms and signs.(NCI);Skin Disorder;
C20188;C66783;;CDISC System Organ Class;SOCIAL CIRCUMSTANCES;SOCIAL CIRCUMSTANCES;;A set of concepts that results from or is influenced by criteria or activities associated with the social environment of a person. (NCI);Social Circumstances;
C25218;C66783;;CDISC System Organ Class;SURGICAL AND MEDICAL PROCEDURES;SURGICAL AND MEDICAL PROCEDURES;;A particular course of action intended to achieve a result. (NCI);Procedure;
C35117;C66783;;CDISC System Organ Class;VASCULAR DISORDERS;VASCULAR DISORDERS;;Any deviation from the normal structure or function of the vascular system that is manifested by a characteristic set of symptoms and signs. (NCI);Vascular Disorder;
C66784;;No;Common Terminology Criteria for Adverse Events;TOXGR;TOXGR;Common Terminology Criteria for Adverse Events;A standard terminology developed to report adverse events occurring in cancer clinical trials. Common terminology criteria for adverse events (CTCAE) are used in study adverse event summaries and Investigational New Drug reports to the Food and Drug Administration. The CTCAE contain a grading scale for each adverse event term representing the severity of the event. (NCI);CDISC SDTM Common Terminology Criteria for Adverse Event Grade Terminology;
C41338;C66784;;Common Terminology Criteria for Adverse Events;1;MILD;"Grade 1; 1";A type of adverse event that is usually transient and may require only minimal treatment or therapeutic intervention. The event does not generally interfere with usual activities of daily living.;Mild Adverse Event;
C41339;C66784;;Common Terminology Criteria for Adverse Events;2;MODERATE;"Grade 2; 2";A type of adverse event that is usually alleviated with additional specific therapeutic intervention. The event interferes with usual activities of daily living, causing discomfort but poses no significant or permanent risk of harm to the research participant.;Moderate Adverse Event;
C41340;C66784;;Common Terminology Criteria for Adverse Events;3;SEVERE;"Grade 3; 3";A type of adverse event that interrupts usual activities of daily living, or significantly affects clinical status, or may require intensive therapeutic intervention.;Severe Adverse Event;
C41337;C66784;;Common Terminology Criteria for Adverse Events;4;LIFE THREATENING;"Grade 4; 4";An adverse event, and/or its immediate sequelae, which is associated with an imminent risk of death or which is associated with physical or mental disabilities that affect or limit the ability of a person to perform activities of daily living (eating, ambulation, toileting, etc.) See NCI Common Terminology Criteria for Adverse Events.;Life Threatening or Disabling Adverse Event;
C48275;C66784;;Common Terminology Criteria for Adverse Events;5;FATAL;"Grade 5; 5";The termination of life as a result of an adverse event. (NCI);Death Related to Adverse Event;
C66785;;Yes;Control Type;TCNTRL;TCNTRL;"Control Type; Type of Control";Comparator against which the study treatment is evaluated (e.g., concurrent (placebo, no treatment, dose-response, active), external (historical, published literature).;CDISC SDTM Control Type Terminology;
C49649;C66785;;Control Type;ACTIVE;ACTIVE;;A type of control, which has a demonstrated effect, administered as a comparator, to subjects in a clinical trial. [From ICH E10].;Active Control;
C41132;C66785;;Control Type;NONE;NONE;;No person or thing, nobody, not any. (NCI);None;
C49648;C66785;;Control Type;PLACEBO;PLACEBO;;Use of an inactive compound identical in appearance to drug or treatment being tested in experimental research, which may or may not be known to the physician and/or subject, administered to distinguish between drug action and suggestive effect of the drug or treatment under study. The effects of the active drug or treatment are compared to the effects of the placebo. (NCI);Placebo Control;
C66786;;No;Country;COUNTRY;COUNTRY;Country;A collective generic term that refers here to a wide variety of dependencies, areas of special sovereignty, uninhabited islands, and other entities in addition to the traditional countries or independent states. (NCI);CDISC SDTM Country Terminology;
C17884;C66786;;Country;ABW;ABW;ARUBA;Island in the Caribbean Sea, north of Venezuela.;Aruba;
C16267;C66786;;Country;AFG;AFG;AFGHANISTAN;A country in Southern Asia, north and west of Pakistan, east of Iran.;Afghanistan;
C16292;C66786;;Country;AGO;AGO;ANGOLA;A country in Southern Africa, bordering the South Atlantic Ocean, between Namibia and Democratic Republic of the Congo.;Angola;
C20133;C66786;;Country;AIA;AIA;ANGUILLA;An island in the Caribbean Sea, east of Puerto Rico.;Anguilla;
C44481;C66786;;Country;ALA;ALA;ALAND ISLANDS;An archipelago in the Baltic Sea at the entrance to the Gulf of Bothnia between Sweden and Finland.;Aland Islands;
C16271;C66786;;Country;ALB;ALB;ALBANIA;A country in Southeastern Europe, bordering the Adriatic Sea and Ionian Sea, between Greece and Serbia and Montenegro.;Albania;
C16289;C66786;;Country;AND;AND;ANDORRA;A country in Southwestern Europe, between France and Spain.;Andorra;
C16904;C66786;;Country;ANT;ANT;NETHERLANDS ANTILLES;"A country in the Caribbean, comprising two island groups in the Caribbean Sea - one includes Curacao and Bonaire north of Venezuela; the other is east of the Virgin Islands.";Netherlands Antilles;
C17232;C66786;;Country;ARE;ARE;UNITED ARAB EMIRATES;A country in the Middle East, bordering the Gulf of Oman and the Persian Gulf, between Oman and Saudi Arabia.;United Arab Emirates;
C16305;C66786;;Country;ARG;ARG;ARGENTINA;A country in Southern South America, bordering the South Atlantic Ocean, between Chile and Uruguay.;Argentina;
C16306;C66786;;Country;ARM;ARM;ARMENIA;A country in Southwestern Asia, east of Turkey.;Armenia;
C17739;C66786;;Country;ASM;ASM;AMERICAN SAMOA;A group of islands in the South Pacific Ocean, about half way between Hawaii and New Zealand.;American Samoa;
C18007;C66786;;Country;ATA;ATA;ANTARCTICA;The continent lying mostly south of the Antarctic Circle.;Antarctica;
C20105;C66786;;Country;ATF;ATF;FRENCH SOUTHERN TERRITORIES;Islands in the southern Indian Ocean, south of Africa, about equidistant between Africa, Antarctica, and Australia.;French Southern Territories;
C16303;C66786;;Country;ATG;ATG;ANTIGUA AND BARBUDA;Islands between the Caribbean Sea and the North Atlantic Ocean, east-southeast of Puerto Rico.;Antigua and Barbuda;
C16311;C66786;;Country;AUS;AUS;AUSTRALIA;The continent between the Indian Ocean and the South Pacific Ocean.;Australia;
C16312;C66786;;Country;AUT;AUT;AUSTRIA;A country in Central Europe, north of Italy and Slovenia.;Austria;
C16316;C66786;;Country;AZE;AZE;AZERBAIJAN;A country in Southwestern Asia, bordering the Caspian Sea, between Iran and Russia.;Azerbaijan;
C16371;C66786;;Country;BDI;BDI;BURUNDI;A country in Central Africa, east of Democratic Republic of the Congo.;Burundi;
C16329;C66786;;Country;BEL;BEL;BELGIUM;A country in Western Europe, bordering the North Sea, between France and the Netherlands.;Belgium;
C16333;C66786;;Country;BEN;BEN;BENIN REPUBLIC;A country in Western Africa, bordering the North Atlantic Ocean, between Nigeria and Togo.;Benin Republic;
C16369;C66786;;Country;BFA;BFA;BURKINA FASO;A country in Western Africa, north of Ghana.;Burkina Faso;
C16323;C66786;;Country;BGD;BGD;BANGLADESH;A country in Southern Asia, bordering the Bay of Bengal, between Burma and India.;Bangladesh;
C16368;C66786;;Country;BGR;BGR;BULGARIA;A country in Southeastern Europe, bordering the Black Sea, between Romania and Turkey.;Bulgaria;
C16322;C66786;;Country;BHR;BHR;BAHRAIN;An archipelago in the Persian Gulf, east of Saudi Arabia.;Bahrain;
C16321;C66786;;Country;BHS;BHS;BAHAMAS;A chain of islands in the North Atlantic Ocean, southeast of Florida.;Bahamas;
C16361;C66786;;Country;BIH;BIH;BOSNIA-HERZEGOVINA;A country in Southeastern Europe, bordering the Adriatic Sea and Croatia.;Bosnia-Herzegovina;
C83609;C66786;;Country;BLM;BLM;SAINT BARTHELEMY;An island in the Caribbean sea, between Saint Martin and Saint Kitts and Nevis.;Saint Barthelemy;
C16372;C66786;;Country;BLR;BLR;BELARUS;A country in Eastern Europe, east of Poland.;Belarus;
C16331;C66786;;Country;BLZ;BLZ;BELIZE;A country in Central America, bordering the Caribbean Sea, between Guatemala and Mexico.;Belize;
C16334;C66786;;Country;BMU;BMU;BERMUDA;A group of islands in the North Atlantic Ocean, east of South Carolina.;Bermuda;
C16359;C66786;;Country;BOL;BOL;BOLIVIA;A country in Central South America, southwest of Brazil.;Bolivia;
C16364;C66786;;Country;BRA;BRA;BRAZIL;A country in Eastern South America, bordering the Atlantic Ocean.;Brazil;
C16324;C66786;;Country;BRB;BRB;BARBADOS;An island between the Caribbean Sea and the North Atlantic Ocean, northeast of Venezuela.;Barbados;
C16367;C66786;;Country;BRN;BRN;BRUNEI;A country in Southeastern Asia, bordering the South China Sea and Malaysia.;Brunei Darussalam;
C16336;C66786;;Country;BTN;BTN;BHUTAN;A country in Southern Asia, between China and India.;Bhutan;
C20104;C66786;;Country;BVT;BVT;BOUVET ISLAND;An island in the South Atlantic Ocean, south-southwest of the Cape of Good Hope (South Africa).;Bouvet Island;
C16363;C66786;;Country;BWA;BWA;BOTSWANA;A country in Southern Africa, north of South Africa.;Botswana;
C16409;C66786;;Country;CAF;CAF;CENTRAL AFRICAN REPUBLIC;A country in Central Africa, north of Democratic Republic of the Congo.;Central African Republic;
C16380;C66786;;Country;CAN;CAN;CANADA;A country in Northern North America, bordering the North Atlantic Ocean on the east, North Pacific Ocean on the west, and the Arctic Ocean on the north, north of the conterminous US.;Canada;
C16445;C66786;;Country;CCK;CCK;COCOS (KEELING) ISLANDS;A group of islands in the Indian Ocean, south of Indonesia, about halfway from Australia to Sri Lanka.;Cocos (Keeling) Islands;
C17181;C66786;;Country;CHE;CHE;SWITZERLAND;A country in Central Europe, east of France, north of Italy.;Switzerland;
C16427;C66786;;Country;CHL;CHL;CHILE;A country in Southern South America, bordering the South Atlantic Ocean and South Pacific Ocean, between Argentina and Peru.;Chile;
C16428;C66786;;Country;CHN;CHN;CHINA;A country in Eastern Asia, bordering the East China Sea, Korea Bay, Yellow Sea, and South China Sea, between North Korea and Vietnam.;China;
C16762;C66786;;Country;CIV;CIV;COTE D'IVOIRE;A country in Western Africa, bordering the North Atlantic Ocean, between Ghana and Liberia.;Cote d'Ivoire;
C16379;C66786;;Country;CMR;CMR;CAMEROON;A country in Western Africa, bordering the Bight of Biafra, between Equatorial Guinea and Nigeria.;Cameroon;
C17266;C66786;;Country;COD;COD;DEMOCRATIC REPUBLIC OF THE CONGO;A country in Central Africa, northeast of Angola.;Democratic Republic of the Congo;
C16467;C66786;;Country;COG;COG;CONGO;A country in Western Africa, bordering the South Atlantic Ocean, between Angola and Gabon.;Congo;
C16469;C66786;;Country;COK;COK;COOK ISLANDS;A group of islands in the South Pacific Ocean, about one-half of the way from Hawaii to New Zealand.;Cook Islands;
C16449;C66786;;Country;COL;COL;COLOMBIA;A country in Northern South America, bordering the Caribbean Sea, between Panama and Venezuela, and bordering the North Pacific Ocean, between Ecuador and Panama.;Colombia;
C16458;C66786;;Country;COM;COM;COMOROS;A group of islands in the Mozambique Channel, about two-thirds of the way between northern Madagascar and northern Mozambique.;Comoros;
C16382;C66786;;Country;CPV;CPV;CAPE VERDE;A group of islands in the North Atlantic Ocean, west of Senegal.;Cape Verde;
C16470;C66786;;Country;CRI;CRI;COSTA RICA;A country in Central America, bordering both the Caribbean Sea and the North Pacific Ocean, between Nicaragua and Panama.;Costa Rica;
C16477;C66786;;Country;CUB;CUB;CUBA;An island between the Caribbean Sea and the North Atlantic Ocean, 150 km south of Key West, Florida.;Cuba;
C44482;C66786;;Country;CXR;CXR;CHRISTMAS ISLAND;An Australian-administered island in the eastern Indian Ocean south of Java, Indonesia.;Christmas Island;
C16391;C66786;;Country;CYM;CYM;CAYMAN ISLANDS;An island group in the Caribbean Sea, nearly one-half of the way from Cuba to Honduras.;Cayman Islands;
C16480;C66786;;Country;CYP;CYP;CYPRUS;An island in the Mediterranean Sea, south of Turkey.;Cyprus;
C17668;C66786;;Country;CZE;CZE;CZECH REPUBLIC;A country in Central Europe, southeast of Germany.;Czech Republic;
C16636;C66786;;Country;DEU;DEU;GERMANY;A country in Central Europe, bordering the Baltic Sea and the North Sea, between the Netherlands and Poland, south of Denmark.;Germany;
C16506;C66786;;Country;DJI;DJI;DJIBOUTI;A country in Eastern Africa, bordering the Gulf of Aden and the Red Sea, between Eritrea and Somalia.;Djibouti;
C16519;C66786;;Country;DMA;DMA;DOMINICA;An island between the Caribbean Sea and the North Atlantic Ocean, about one-half of the way from Puerto Rico to Trinidad and Tobago.;Dominica;
C16496;C66786;;Country;DNK;DNK;DENMARK;"A country in Northern Europe, bordering the Baltic Sea and the North Sea, on a peninsula north of Germany (Jutland); also includes two major islands (Sjaelland and Fyn).";Denmark;
C16520;C66786;;Country;DOM;DOM;DOMINICAN REPUBLIC;A country comprising the eastern two-thirds of the island of Hispaniola, between the Caribbean Sea and the North Atlantic Ocean, east of Haiti.;Dominican Republic;
C16274;C66786;;Country;DZA;DZA;ALGERIA;A country in Northern Africa, bordering the Mediterranean Sea, between Morocco and Tunisia.;Algeria;
C16528;C66786;;Country;ECU;ECU;ECUADOR;A country in Western South America, bordering the Pacific Ocean at the Equator, between Colombia and Peru.;Ecuador;
C16530;C66786;;Country;EGY;EGY;EGYPT;A country in Northern Africa, bordering the Mediterranean Sea, between Libya and the Gaza Strip.;Egypt;
C16558;C66786;;Country;ERI;ERI;ERITREA;A country in Eastern Africa, bordering the Red Sea, between Djibouti and Sudan.;Eritrea;
C20113;C66786;;Country;ESH;ESH;WESTERN SAHARA;A country in Northern Africa, bordering the North Atlantic Ocean, between Mauritania and Morocco.;Western Sahara;
C17152;C66786;;Country;ESP;ESP;SPAIN;A country in Southwestern Europe, bordering the Bay of Biscay, Mediterranean Sea, North Atlantic Ocean, and Pyrenees Mountains, southwest of France.;Spain;
C16562;C66786;;Country;EST;EST;ESTONIA;A country in Eastern Europe, bordering the Baltic Sea and Gulf of Finland, between Latvia and Russia.;Estonia;
C16563;C66786;;Country;ETH;ETH;ETHIOPIA;A country in Eastern Africa, west of Somalia.;Ethiopia;
C16584;C66786;;Country;FIN;FIN;FINLAND;A country in Northern Europe, bordering the Baltic Sea, Gulf of Bothnia, and Gulf of Finland, between Sweden and Russia.;Finland;
C16582;C66786;;Country;FJI;FJI;FIJI;An island group in the South Pacific Ocean, about two-thirds of the way from Hawaii to New Zealand.;Fiji;
C17954;C66786;;Country;FLK;FLK;FALKLAND ISLANDS;Islands in the South Atlantic Ocean, east of southern Argentina.;Falkland Islands;
C16592;C66786;;Country;FRA;FRA;FRANCE;"A country in Western Europe, bordering the Bay of Biscay and English Channel, between Belgium and Spain, southeast of the UK; bordering the Mediterranean Sea, between Italy and Spain.";France;
C16573;C66786;;Country;FRO;FRO;FAROE ISLANDS;An island group between the Norwegian Sea and the North Atlantic Ocean, about one-half of the way from Iceland to Norway.;Faroe Islands;
C17881;C66786;;Country;FSM;FSM;MICRONESIA, FEDERATED STATES OF;An island group in the North Pacific Ocean, about three-quarters of the way from Hawaii to Indonesia.;Federated States of Micronesia;
C16596;C66786;;Country;GAB;GAB;GABON;A country in Western Africa, bordering the Atlantic Ocean at the Equator, between Republic of the Congo and Equatorial Guinea.;Gabon;
C17233;C66786;;Country;GBR;GBR;UNITED KINGDOM;A country in Western Europe, comprising islands, including the northern one-sixth of the island of Ireland, between the North Atlantic Ocean and the North Sea, northwest of France.;United Kingdom;
C16634;C66786;;Country;GEO;GEO;GEORGIA;A country in Southwestern Asia, bordering the Black Sea, between Turkey and Russia.;Georgia;
C64375;C66786;;Country;GGY;GGY;GUERNSEY;The island of Guernsey and the other Channel Islands represent the last remnants of the medieval Dukedom of Normandy, which held sway in both France and England. Guernsey is a British crown dependency, but is not part of the UK.;Guernsey;
C26330;C66786;;Country;GHA;GHA;GHANA;A country in Western Africa, bordering the Gulf of Guinea, between Cote d'Ivoire and Togo.;Ghana;
C16638;C66786;;Country;GIB;GIB;GIBRALTAR;A dependency in Southwestern Europe, bordering the Strait of Gibraltar, on the southern coast of Spain.;Gibraltar;
C16655;C66786;;Country;GIN;GIN;GUINEA;A country in Western Africa, bordering the North Atlantic Ocean, between Guinea-Bissau and Sierra Leone.;Guinea;
